region,date,consumption
Bretagne,2021-01-24,3312
Bretagne,2021-01-25,3803
Bretagne,2021-01-26,4002
Bretagne,2021-01-27,3521
Bretagne,2021-01-28,3166
Bretagne,2021-01-29,3053
Bretagne,2021-01-30,2766
Bretagne,2021-01-31,2706
Bretagne,2021-02-01,3084
Bretagne,2021-02-02,3030
Bretagne,2021-02-03,3099
Bretagne,2021-02-04,3170
Bretagne,2021-02-05,3155
Bretagne,2021-02-06,2972
Bretagne,2021-02-07,3126
Bretagne,2021-02-08,3883
Bretagne,2021-02-09,4299
Bretagne,2021-02-10,4318
Bretagne,2021-02-11,4809
Bretagne,2021-02-12,4540
Bretagne,2021-02-13,4307
Bretagne,2021-02-14,3851
Bretagne,2021-02-15,3641
Bretagne,2021-02-16,3469
Bretagne,2021-02-17,3312
Bretagne,2021-02-18,3285
Bretagne,2021-02-19,3319
Bretagne,2021-02-20,2751
Bretagne,2021-02-21,2576
Bretagne,2021-02-22,3050
Bretagne,2021-02-23,3075
Bretagne,2021-02-24,2818
Bretagne,2021-02-25,2989
Bretagne,2021-02-26,3105
Bretagne,2021-02-27,2846
Bretagne,2021-02-28,2735
Bretagne,2021-03-01,3062
Bretagne,2021-03-02,3019
Bretagne,2021-03-03,2946
Bretagne,2021-03-04,3038
Bretagne,2021-03-05,3266
Bretagne,2021-03-06,3060
Bretagne,2021-03-07,3029
Bretagne,2021-03-08,3516
Bretagne,2021-03-09,3526
Bretagne,2021-03-10,3554
Bretagne,2021-03-11,3137
Bretagne,2021-03-12,3210
Bretagne,2021-03-13,2875
Bretagne,2021-03-14,2785
Bretagne,2021-03-15,2970
Bretagne,2021-03-16,2894
Bretagne,2021-03-17,2886
Bretagne,2021-03-18,3096
Bretagne,2021-03-19,2986
Bretagne,2021-03-20,2798
Bretagne,2021-03-21,2719
Bretagne,2021-12-22,4246
Bretagne,2021-12-23,3816
Bretagne,2021-12-24,3185
Bretagne,2021-12-25,2709
Bretagne,2021-12-26,2626
Bretagne,2021-12-27,2895
Bretagne,2021-12-28,2917
Bretagne,2021-12-29,2805
Bretagne,2021-12-30,2757
Bretagne,2021-12-31,2727
